;BBSSY.D.REN.EUR.A630.000000WT1010.A;BBSSY.D.REN.EUR.A630.000000WT1010.A_FLAGS
;;
Comment;ISIN DE000BU2Z056 seit dem 02. Juli 2025;
Decimals;2;
Time format code;P1D;
category;ZRWR;
unit;PROZENT;
unit multiplier;One;
last update;2025-10-24 12:11:56;
2020-10-20;-0.63;
2020-10-21;-0.58;
2020-10-22;-0.58;
2020-10-23;-0.57;
2020-10-24;.;No value available
2020-10-25;.;No value available
2020-10-26;-0.58;
2020-10-27;-0.59;
2020-10-28;-0.64;
2020-10-29;-0.63;
2020-10-30;-0.63;
2020-10-31;.;No value available
2020-11-01;.;No value available
2020-11-02;-0.61;
2020-11-03;-0.62;
2020-11-04;-0.65;
2020-11-05;-0.65;
2020-11-06;-0.65;
2020-11-07;.;No value available
2020-11-08;.;No value available
2020-11-09;-0.64;
2020-11-10;-0.50;
2020-11-11;-0.48;
2020-11-12;-0.50;
2020-11-13;-0.54;
2020-11-14;.;No value available
2020-11-15;.;No value available
2020-11-16;-0.56;
2020-11-17;-0.55;
2020-11-18;-0.57;
2020-11-19;-0.57;
2020-11-20;-0.57;
2020-11-21;.;No value available
2020-11-22;.;No value available
2020-11-23;-0.58;
2020-11-24;-0.58;
2020-11-25;-0.57;
2020-11-26;-0.58;
2020-11-27;-0.59;
2020-11-28;.;No value available
2020-11-29;.;No value available
2020-11-30;-0.59;
2020-12-01;-0.56;
2020-12-02;-0.52;
2020-12-03;-0.54;
2020-12-04;-0.55;
2020-12-05;.;No value available
2020-12-06;.;No value available
2020-12-07;-0.58;
2020-12-08;-0.60;
2020-12-09;-0.60;
2020-12-10;-0.62;
2020-12-11;-0.63;
2020-12-12;.;No value available
2020-12-13;.;No value available
2020-12-14;-0.63;
2020-12-15;-0.62;
2020-12-16;-0.59;
2020-12-17;-0.58;
2020-12-18;-0.56;
2020-12-19;.;No value available
2020-12-20;.;No value available
2020-12-21;-0.61;
2020-12-22;-0.59;
2020-12-23;-0.61;
2020-12-24;.;No value available
2020-12-25;.;No value available
2020-12-26;.;No value available
2020-12-27;.;No value available
2020-12-28;-0.55;
2020-12-29;-0.58;
2020-12-30;-0.56;
2020-12-31;.;No value available
2021-01-01;.;No value available
2021-01-02;.;No value available
2021-01-03;.;No value available
2021-01-04;-0.61;
2021-01-05;-0.60;
2021-01-06;-0.51;
2021-01-07;-0.54;
2021-01-08;-0.53;
2021-01-09;.;No value available
2021-01-10;.;No value available
2021-01-11;-0.53;
2021-01-12;-0.48;
2021-01-13;-0.49;
2021-01-14;-0.53;
2021-01-15;-0.54;
2021-01-16;.;No value available
2021-01-17;.;No value available
2021-01-18;-0.54;
2021-01-19;-0.52;
2021-01-20;-0.53;
2021-01-21;-0.53;
2021-01-22;-0.51;
2021-01-23;.;No value available
2021-01-24;.;No value available
2021-01-25;-0.54;
2021-01-26;-0.54;
2021-01-27;-0.54;
2021-01-28;-0.55;
2021-01-29;-0.52;
2021-01-30;.;No value available
2021-01-31;.;No value available
2021-02-01;-0.51;
2021-02-02;-0.50;
2021-02-03;-0.47;
2021-02-04;-0.47;
2021-02-05;-0.46;
2021-02-06;.;No value available
2021-02-07;.;No value available
2021-02-08;-0.43;
2021-02-09;-0.45;
2021-02-10;-0.44;
2021-02-11;-0.47;
2021-02-12;-0.46;
2021-02-13;.;No value available
2021-02-14;.;No value available
2021-02-15;-0.38;
2021-02-16;-0.38;
2021-02-17;-0.36;
2021-02-18;-0.36;
2021-02-19;-0.33;
2021-02-20;.;No value available
2021-02-21;.;No value available
2021-02-22;-0.32;
2021-02-23;-0.31;
2021-02-24;-0.32;
2021-02-25;-0.27;
2021-02-26;-0.25;
2021-02-27;.;No value available
2021-02-28;.;No value available
2021-03-01;-0.30;
2021-03-02;-0.32;
2021-03-03;-0.32;
2021-03-04;-0.30;
2021-03-05;-0.30;
2021-03-06;.;No value available
2021-03-07;.;No value available
2021-03-08;-0.29;
2021-03-09;-0.31;
2021-03-10;-0.30;
2021-03-11;-0.32;
2021-03-12;-0.32;
2021-03-13;.;No value available
2021-03-14;.;No value available
2021-03-15;-0.32;
2021-03-16;-0.34;
2021-03-17;-0.32;
2021-03-18;-0.27;
2021-03-19;-0.31;
2021-03-20;.;No value available
2021-03-21;.;No value available
2021-03-22;-0.32;
2021-03-23;-0.34;
2021-03-24;-0.36;
2021-03-25;-0.37;
2021-03-26;-0.36;
2021-03-27;.;No value available
2021-03-28;.;No value available
2021-03-29;-0.34;
2021-03-30;-0.26;
2021-03-31;-0.27;
2021-04-01;-0.30;
2021-04-02;.;No value available
2021-04-03;.;No value available
2021-04-04;.;No value available
2021-04-05;.;No value available
2021-04-06;-0.30;
2021-04-07;-0.33;
2021-04-08;-0.33;
2021-04-09;-0.31;
2021-04-10;.;No value available
2021-04-11;.;No value available
2021-04-12;-0.32;
2021-04-13;-0.28;
2021-04-14;-0.30;
2021-04-15;-0.27;
2021-04-16;-0.27;
2021-04-17;.;No value available
2021-04-18;.;No value available
2021-04-19;-0.27;
2021-04-20;-0.23;
2021-04-21;-0.25;
2021-04-22;-0.27;
2021-04-23;-0.27;
2021-04-24;.;No value available
2021-04-25;.;No value available
2021-04-26;-0.26;
2021-04-27;-0.25;
2021-04-28;-0.22;
2021-04-29;-0.22;
2021-04-30;-0.20;
2021-05-01;.;No value available
2021-05-02;.;No value available
2021-05-03;-0.16;
2021-05-04;-0.21;
2021-05-05;-0.23;
2021-05-06;-0.23;
2021-05-07;-0.22;
2021-05-08;.;No value available
2021-05-09;.;No value available
2021-05-10;-0.20;
2021-05-11;-0.17;
2021-05-12;-0.17;
2021-05-13;-0.11;
2021-05-14;-0.13;
2021-05-15;.;No value available
2021-05-16;.;No value available
2021-05-17;-0.13;
2021-05-18;-0.11;
2021-05-19;-0.09;
2021-05-20;-0.10;
2021-05-21;-0.12;
2021-05-22;.;No value available
2021-05-23;.;No value available
2021-05-24;.;No value available
2021-05-25;-0.16;
2021-05-26;-0.19;
2021-05-27;-0.20;
2021-05-28;-0.17;
2021-05-29;.;No value available
2021-05-30;.;No value available
2021-05-31;-0.16;
2021-06-01;-0.19;
2021-06-02;-0.19;
2021-06-03;-0.18;
2021-06-04;-0.19;
2021-06-05;.;No value available
2021-06-06;.;No value available
2021-06-07;-0.20;
2021-06-08;-0.20;
2021-06-09;-0.24;
2021-06-10;-0.24;
2021-06-11;-0.29;
2021-06-12;.;No value available
2021-06-13;.;No value available
2021-06-14;-0.27;
2021-06-15;-0.26;
2021-06-16;-0.19;
2021-06-17;-0.17;
2021-06-18;-0.20;
2021-06-19;.;No value available
2021-06-20;.;No value available
2021-06-21;-0.21;
2021-06-22;-0.16;
2021-06-23;-0.17;
2021-06-24;-0.17;
2021-06-25;-0.18;
2021-06-26;.;No value available
2021-06-27;.;No value available
2021-06-28;-0.16;
2021-06-29;-0.18;
2021-06-30;-0.19;
2021-07-01;-0.19;
2021-07-02;-0.23;
2021-07-03;.;No value available
2021-07-04;.;No value available
2021-07-05;-0.22;
2021-07-06;-0.22;
2021-07-07;-0.28;
2021-07-08;-0.34;
2021-07-09;-0.32;
2021-07-10;.;No value available
2021-07-11;.;No value available
2021-07-12;-0.31;
2021-07-13;-0.30;
2021-07-14;-0.29;
2021-07-15;-0.34;
2021-07-16;-0.34;
2021-07-17;.;No value available
2021-07-18;.;No value available
2021-07-19;-0.37;
2021-07-20;-0.41;
2021-07-21;-0.40;
2021-07-22;-0.40;
2021-07-23;-0.41;
2021-07-24;.;No value available
2021-07-25;.;No value available
2021-07-26;-0.43;
2021-07-27;-0.44;
2021-07-28;-0.44;
2021-07-29;-0.45;
2021-07-30;-0.45;
2021-07-31;.;No value available
2021-08-01;.;No value available
2021-08-02;-0.45;
2021-08-03;-0.47;
2021-08-04;-0.49;
2021-08-05;-0.50;
2021-08-06;-0.49;
2021-08-07;.;No value available
2021-08-08;.;No value available
2021-08-09;-0.47;
2021-08-10;-0.46;
2021-08-11;-0.44;
2021-08-12;-0.46;
2021-08-13;-0.46;
2021-08-14;.;No value available
2021-08-15;.;No value available
2021-08-16;-0.47;
2021-08-17;-0.50;
2021-08-18;-0.49;
2021-08-19;-0.50;
2021-08-20;-0.49;
2021-08-21;.;No value available
2021-08-22;.;No value available
2021-08-23;-0.47;
2021-08-24;-0.48;
2021-08-25;-0.46;
2021-08-26;-0.41;
2021-08-27;-0.41;
2021-08-28;.;No value available
2021-08-29;.;No value available
2021-08-30;-0.42;
2021-08-31;-0.43;
2021-09-01;-0.37;
2021-09-02;-0.39;
2021-09-03;-0.38;
2021-09-04;.;No value available
2021-09-05;.;No value available
2021-09-06;-0.36;
2021-09-07;-0.34;
2021-09-08;-0.33;
2021-09-09;-0.33;
2021-09-10;-0.35;
2021-09-11;.;No value available
2021-09-12;.;No value available
2021-09-13;-0.33;
2021-09-14;-0.32;
2021-09-15;-0.34;
2021-09-16;-0.31;
2021-09-17;-0.29;
2021-09-18;.;No value available
2021-09-19;.;No value available
2021-09-20;-0.31;
2021-09-21;-0.31;
2021-09-22;-0.32;
2021-09-23;-0.31;
2021-09-24;-0.24;
2021-09-25;.;No value available
2021-09-26;.;No value available
2021-09-27;-0.21;
2021-09-28;-0.20;
2021-09-29;-0.21;
2021-09-30;-0.22;
2021-10-01;-0.23;
2021-10-02;.;No value available
2021-10-03;.;No value available
2021-10-04;-0.21;
2021-10-05;-0.23;
2021-10-06;-0.16;
2021-10-07;-0.19;
2021-10-08;-0.15;
2021-10-09;.;No value available
2021-10-10;.;No value available
