Residual term;Time;Value
10 years;2014-12-29;1.06
10 years;2014-12-30;1.04
10 years;2014-12-31;1.04
10 years;2015-01-02;1.01
10 years;2015-01-05;0.97
10 years;2015-01-06;0.91
10 years;2015-01-07;0.92
10 years;2015-01-08;0.95
10 years;2015-01-09;0.93
10 years;2015-01-12;0.9
10 years;2015-01-13;0.87
10 years;2015-01-14;0.79
10 years;2015-01-15;0.79
10 years;2015-01-16;0.75
10 years;2015-01-19;0.76
10 years;2015-01-20;0.77
10 years;2015-01-21;0.81
10 years;2015-01-22;0.76
10 years;2015-01-23;0.67
10 years;2015-01-26;0.67
10 years;2015-01-27;0.68
10 years;2015-01-28;0.68
10 years;2015-01-29;0.68
10 years;2015-01-30;0.65
10 years;2015-02-02;0.63
10 years;2015-02-03;0.63
10 years;2015-02-04;0.65
10 years;2015-02-05;0.66
10 years;2015-02-06;0.67
10 years;2015-02-09;0.69
10 years;2015-02-10;0.72
10 years;2015-02-11;0.71
10 years;2015-02-12;0.69
10 years;2015-02-13;0.67
10 years;2015-02-16;0.68
10 years;2015-02-17;0.68
10 years;2015-02-18;0.7
10 years;2015-02-19;0.71
10 years;2015-02-20;0.68
10 years;2015-02-23;0.67
10 years;2015-02-24;0.66
10 years;2015-02-25;0.62
10 years;2015-02-26;0.56
10 years;2015-02-27;0.58
10 years;2015-03-02;0.58
10 years;2015-03-03;0.63
10 years;2015-03-04;0.63
10 years;2015-03-05;0.63
10 years;2015-03-06;0.62
10 years;2015-03-09;0.58
10 years;2015-03-10;0.49
10 years;2015-03-11;0.45
10 years;2015-03-12;0.42
10 years;2015-03-13;0.42
10 years;2015-03-16;0.42
10 years;2015-03-17;0.51
10 years;2015-03-18;0.46
10 years;2015-03-19;0.43
10 years;2015-03-20;0.42
10 years;2015-12-07;0.92
10 years;2015-12-08;0.86
10 years;2015-12-09;0.88
10 years;2015-12-10;0.88
10 years;2015-12-11;0.86
10 years;2015-12-14;0.9
10 years;2015-12-15;0.99
10 years;2015-12-16;0.98
10 years;2015-12-17;0.93
10 years;2015-12-18;0.88
10 years;2015-12-21;0.9
10 years;2015-12-22;0.95
10 years;2015-12-23;1
10 years;2015-12-24;1
10 years;2015-12-28;0.98
10 years;2015-12-29;1
10 years;2015-12-30;1.03
10 years;2015-12-31;1.01
10 years;2016-01-04;0.96
10 years;2016-01-05;0.94
10 years;2016-01-06;0.91
10 years;2016-01-07;0.94
10 years;2016-01-08;0.94
10 years;2016-01-11;0.94
10 years;2016-01-12;0.97
10 years;2016-01-13;0.9
10 years;2016-01-14;0.9
10 years;2016-01-15;0.87
10 years;2016-01-18;0.89
10 years;2016-01-19;0.9
10 years;2016-01-20;0.87
10 years;2016-01-21;0.84
10 years;2016-01-22;0.85
10 years;2016-01-25;0.85
10 years;2016-01-26;0.81
10 years;2016-01-27;0.81
10 years;2016-01-28;0.77
10 years;2016-01-29;0.7
10 years;2016-02-01;0.7
10 years;2016-02-02;0.69
10 years;2016-02-03;0.7
10 years;2016-02-04;0.67
10 years;2016-02-05;0.69
10 years;2016-02-08;0.65
10 years;2016-02-09;0.68
10 years;2016-02-10;0.68
10 years;2016-02-11;0.64
10 years;2016-02-12;0.68
10 years;2016-02-15;0.68
10 years;2016-02-16;0.69
10 years;2016-02-17;0.69
10 years;2016-02-18;0.65
10 years;2016-02-19;0.61
10 years;2016-02-22;0.59
10 years;2016-02-23;0.61
10 years;2016-02-24;0.56
10 years;2016-02-25;0.59
10 years;2016-02-26;0.55
10 years;2016-02-29;0.51
10 years;2016-03-01;0.52
10 years;2016-03-02;0.58
10 years;2016-03-03;0.59
10 years;2016-03-04;0.6
10 years;2016-03-07;0.59
10 years;2016-03-08;0.55
10 years;2016-03-09;0.59
10 years;2016-03-10;0.5
10 years;2016-03-11;0.58
10 years;2016-03-14;0.56
10 years;2016-03-15;0.61
10 years;2016-03-16;0.6
10 years;2016-03-17;0.55
10 years;2016-03-18;0.52
10 years;2016-03-21;0.54
10 years;2016-03-22;0.53
10 years;2016-03-23;0.54
10 years;2016-03-24;0.49
10 years;2016-03-29;0.46
10 years;2016-03-30;0.45
10 years;2016-03-31;0.45
10 years;2016-04-01;0.44
10 years;2016-04-04;0.43
10 years;2016-04-05;0.41
10 years;2016-04-06;0.44
10 years;2016-04-07;0.43
10 years;2016-04-08;0.42
10 years;2016-12-28;0.46
10 years;2016-12-29;0.57
10 years;2016-12-30;0.62
10 years;2017-01-02;0.38
10 years;2017-01-03;0.5
10 years;2017-01-04;0.54
10 years;2017-01-05;0.61
10 years;2017-01-06;0.56
10 years;2017-01-09;0.57
10 years;2017-01-10;0.56
10 years;2017-01-11;0.54
10 years;2017-01-12;0.54
10 years;2017-01-13;0.53
10 years;2017-01-16;0.56
10 years;2017-01-17;0.51
10 years;2017-01-18;0.53
10 years;2017-01-19;0.59
10 years;2017-01-20;0.66
10 years;2017-01-23;0.66
10 years;2017-01-24;0.63
10 years;2017-01-25;0.7
10 years;2017-01-26;0.76
10 years;2017-01-27;0.77
10 years;2017-01-30;0.78
10 years;2017-01-31;0.77
10 years;2017-02-01;0.7
10 years;2017-02-02;0.7
10 years;2017-02-03;0.76
10 years;2017-02-06;0.78
10 years;2017-02-07;0.74
10 years;2017-02-08;0.71
10 years;2017-02-09;0.63
10 years;2017-02-10;0.65
10 years;2017-02-13;0.64
10 years;2017-02-14;0.64
10 years;2017-02-15;0.64
10 years;2017-02-16;0.63
10 years;2017-02-17;0.6
10 years;2017-02-20;0.63
10 years;2017-02-21;0.63
10 years;2017-02-22;0.55
10 years;2017-02-23;0.5
10 years;2017-02-24;0.5
10 years;2017-02-27;0.48
10 years;2017-02-28;0.47
10 years;2017-03-01;0.48
10 years;2017-03-02;0.52
10 years;2017-03-03;0.56
10 years;2017-03-06;0.55
10 years;2017-03-07;0.56
10 years;2017-03-08;0.61
10 years;2017-03-09;0.61
10 years;2017-03-10;0.7
10 years;2017-03-13;0.71
10 years;2017-03-14;0.71
10 years;2017-03-15;0.68
10 years;2017-03-16;0.71
10 years;2017-03-17;0.7
10 years;2017-03-20;0.74
10 years;2017-03-21;0.75
10 years;2017-03-22;0.71
10 years;2017-03-23;0.66
10 years;2017-03-24;0.65
10 years;2017-03-27;0.64
10 years;2017-03-28;0.61
10 years;2017-03-29;0.6
10 years;2017-03-30;0.59
10 years;2017-03-31;0.58
10 years;2010-04-06;3.58
10 years;2010-04-07;3.56
10 years;2010-04-08;3.54
10 years;2010-04-09;3.54
10 years;2010-04-12;3.54
10 years;2010-04-13;3.54
10 years;2010-04-14;3.54
10 years;2010-04-15;3.56
10 years;2010-04-16;3.52
10 years;2010-04-19;3.49
10 years;2010-04-20;3.49
10 years;2010-04-21;3.52
10 years;2010-04-22;3.54
10 years;2010-04-23;3.56
10 years;2010-04-26;3.57
10 years;2010-04-27;3.55
10 years;2010-04-28;3.58
10 years;2010-04-29;3.58
10 years;2010-04-30;3.5
10 years;2010-05-03;3.51
10 years;2010-05-04;3.44
10 years;2010-05-05;3.38
10 years;2010-05-06;3.42
10 years;2010-05-07;3.56
10 years;2010-05-10;3.46
10 years;2010-05-11;3.42
10 years;2010-05-12;3.41
10 years;2010-05-17;3.33
10 years;2010-05-18;3.26
10 years;2010-05-19;3.18
10 years;2010-05-20;3.16
10 years;2010-05-21;3.11
10 years;2010-05-25;3.08
10 years;2010-05-26;3.1
10 years;2010-05-27;3.18
10 years;2010-05-28;3.17
10 years;2010-05-31;3.14
10 years;2010-06-01;3.19
10 years;2010-06-02;3.25
10 years;2010-06-03;3.41
10 years;2010-06-04;3.53
10 years;2010-06-07;3.57
10 years;2010-06-08;3.56
10 years;2010-06-09;3.52
10 years;2010-06-10;3.46
10 years;2010-06-11;3.34
10 years;2010-06-14;3.46
10 years;2010-06-15;3.45
10 years;2010-06-16;3.46
10 years;2010-06-17;3.49
10 years;2010-06-18;3.49
10 years;2010-06-21;3.42
10 years;2010-06-22;3.49
10 years;2010-06-23;3.51
10 years;2010-06-24;3.49
10 years;2010-06-25;3.56
10 years;2010-06-28;3.5
10 years;2010-06-29;3.45
10 years;2010-06-30;3.42
10 years;2010-07-01;3.42
10 years;2010-07-02;3.33
10 years;2010-07-05;3.23
10 years;2010-07-06;3.27
10 years;2010-07-07;3.27
10 years;2010-07-08;3.28
10 years;2010-07-09;3.24
10 years;2010-07-12;3.21
10 years;2010-07-13;3.2
10 years;2010-07-14;3.24
10 years;2010-07-15;3.28
10 years;2010-07-16;3.3
10 years;2010-07-19;3.31
10 years;2010-07-20;3.3
10 years;2010-07-22;3.35
10 years;2010-07-23;3.35
10 years;2010-07-26;3.36
10 years;2010-07-27;3.34
10 years;2010-07-28;3.31
10 years;2010-07-29;3.33
10 years;2010-07-30;3.3
10 years;2010-08-02;3.31
10 years;2010-08-03;3.26
10 years;2010-08-04;3.22
10 years;2010-08-05;3.18
10 years;2010-08-06;3.1
10 years;2010-08-09;3.07
10 years;2010-08-10;3.12
10 years;2010-08-11;3.07
10 years;2010-08-12;3.01
10 years;2011-04-29;4.24
10 years;2011-05-02;4.23
10 years;2011-05-03;4.23
10 years;2011-05-04;4.25
10 years;2011-05-05;4.26
10 years;2011-05-06;4.2
10 years;2011-05-09;4.19
10 years;2011-05-10;4.19
10 years;2011-05-11;4.23
10 years;2011-05-12;4.18
10 years;2011-05-13;4.18
10 years;2011-05-16;4.16
10 years;2011-05-17;4.17
10 years;2011-05-18;4.19
10 years;2011-05-19;4.23
10 years;2011-05-20;4.22
10 years;2011-05-23;4.22
10 years;2011-05-24;4.2
10 years;2011-05-25;4.17
10 years;2011-05-26;4.13
10 years;2011-05-27;4.15
10 years;2011-05-30;4.18
10 years;2011-05-31;4.17
10 years;2011-06-01;4.13
10 years;2011-06-06;4.08
10 years;2011-06-07;4.12
10 years;2011-06-08;4.17
10 years;2011-06-09;4.16
10 years;2011-06-10;4.13
10 years;2011-06-14;4.14
10 years;2011-06-15;4.16
10 years;2011-06-16;4.17
10 years;2011-06-17;4.13
10 years;2011-06-20;4.14
10 years;2011-06-21;4.13
10 years;2011-06-22;4.13
10 years;2011-06-23;4.13
10 years;2011-06-24;4.15
10 years;2011-06-27;4.18
10 years;2011-06-28;4.14
10 years;2011-06-29;4.11
10 years;2011-06-30;4.12
10 years;2011-07-01;4.08
10 years;2011-07-04;4.08
10 years;2011-07-05;4.1
10 years;2011-07-06;4.11
10 years;2011-07-07;4.14
10 years;2011-07-08;4.13
10 years;2011-07-11;4.22
10 years;2011-07-12;4.28
10 years;2011-07-13;4.2
10 years;2011-07-14;4.32
10 years;2011-07-15;4.31
10 years;2011-07-18;4.39
10 years;2011-07-19;4.4
10 years;2011-07-20;4.29
10 years;2011-07-22;4.27
10 years;2011-07-25;4.3
10 years;2011-07-26;4.31
10 years;2011-07-27;4.27
10 years;2011-07-28;4.33
10 years;2011-07-29;4.35
10 years;2011-08-01;4.3
10 years;2011-08-02;4.46
10 years;2011-08-03;4.46
10 years;2011-08-04;4.38
10 years;2011-08-05;4.48
10 years;2011-08-08;4.29
10 years;2011-08-09;4.23
10 years;2011-08-10;4.11
10 years;2011-08-11;4.12
10 years;2011-08-12;4.06
10 years;2011-08-16;4.02
10 years;2011-08-17;3.95
10 years;2011-08-18;3.84
10 years;2011-08-19;3.9
10 years;2011-08-22;3.88
10 years;2011-08-23;3.87
10 years;2011-08-24;3.91
10 years;2011-08-25;3.94
10 years;2011-08-26;3.89
10 years;2011-08-29;3.94
10 years;2011-08-30;3.95
10 years;2011-08-31;3.98
10 years;2011-09-01;4.05
10 years;2011-09-02;4.04
10 years;2012-05-21;3.33
10 years;2012-05-22;3.27
10 years;2012-05-23;3.27
10 years;2012-05-24;3.11
10 years;2012-05-25;3.12
10 years;2012-05-29;3.13
10 years;2012-05-30;3.15
10 years;2012-05-31;2.98
10 years;2012-06-01;2.81
10 years;2012-06-04;2.84
10 years;2012-06-05;2.85
10 years;2012-06-06;2.85
10 years;2012-06-07;3.02
10 years;2012-06-08;2.99
10 years;2012-06-11;3.1
10 years;2012-06-12;3.19
10 years;2012-06-13;3.22
10 years;2012-06-14;3.23
10 years;2012-06-15;3.17
10 years;2012-06-18;3.14
10 years;2012-06-19;3.22
10 years;2012-06-20;3.23
10 years;2012-06-21;3.22
10 years;2012-06-22;3.19
10 years;2012-06-25;3.13
10 years;2012-06-26;3.14
10 years;2012-06-27;3.13
10 years;2012-06-28;3.16
10 years;2012-06-29;3.14
10 years;2012-07-02;3.01
10 years;2012-07-03;2.87
10 years;2012-07-04;2.85
10 years;2012-07-05;2.86
10 years;2012-07-06;2.74
10 years;2012-07-09;2.74
10 years;2012-07-10;2.7
10 years;2012-07-11;2.65
10 years;2012-07-12;2.62
10 years;2012-07-13;2.56
10 years;2012-07-16;2.5
10 years;2012-07-17;2.39
10 years;2012-07-18;2.42
10 years;2012-07-19;2.37
10 years;2012-07-20;2.36
10 years;2012-07-23;2.48
10 years;2012-07-24;2.67
10 years;2012-07-25;2.75
10 years;2012-07-26;2.65
10 years;2012-07-27;2.63
10 years;2012-07-30;2.63
10 years;2012-07-31;2.55
10 years;2012-08-01;2.55
10 years;2012-08-02;2.49
10 years;2012-08-03;2.43
10 years;2012-08-06;2.45
10 years;2012-08-07;2.46
10 years;2012-08-08;2.47
10 years;2012-08-09;2.43
10 years;2012-08-10;2.39
10 years;2012-08-13;2.51
10 years;2012-08-14;2.5
10 years;2012-08-16;2.52
10 years;2012-08-17;2.54
10 years;2012-08-20;2.51
10 years;2012-08-21;2.52
10 years;2012-08-22;2.5
10 years;2012-08-23;2.47
10 years;2012-08-24;2.41
10 years;2012-08-27;2.43
10 years;2012-08-28;2.43
10 years;2012-08-29;2.48
10 years;2012-08-30;2.5
10 years;2012-08-31;2.49
10 years;2012-09-03;2.53
10 years;2012-09-04;2.54
10 years;2012-09-05;2.57
10 years;2012-09-06;2.6
10 years;2012-09-07;2.55
10 years;2012-09-10;2.59
10 years;2012-09-11;2.52
10 years;2012-09-12;2.51
10 years;2012-09-13;2.47
10 years;2012-09-14;2.51
10 years;2012-09-17;2.57
10 years;2012-09-18;2.57
10 years;2012-09-19;2.57
10 years;2012-09-20;2.59
10 years;2012-09-21;2.56
10 years;2012-09-24;2.54
10 years;2012-09-25;2.52
10 years;2012-09-26;2.57
10 years;2012-09-27;2.56
10 years;2013-06-13;2.39
10 years;2013-06-14;2.33
10 years;2013-06-17;2.3
10 years;2013-06-18;2.35
10 years;2013-06-19;2.35
10 years;2013-06-20;2.51
10 years;2013-06-21;2.6
10 years;2013-06-24;2.88
10 years;2013-06-25;2.83
10 years;2013-06-26;2.73
10 years;2013-06-27;2.63
10 years;2013-06-28;2.66
10 years;2013-07-01;2.62
10 years;2013-07-02;2.58
10 years;2013-07-03;2.58
10 years;2013-07-04;2.54
10 years;2013-07-05;2.62
10 years;2013-07-08;2.57
10 years;2013-07-09;2.54
10 years;2013-07-10;2.52
10 years;2013-07-11;2.58
10 years;2013-07-12;2.49
10 years;2013-07-15;2.53
10 years;2013-07-16;2.52
10 years;2013-07-17;2.51
10 years;2013-07-18;2.49
10 years;2013-07-19;2.5
10 years;2013-07-22;2.54
10 years;2013-07-23;2.54
10 years;2013-07-24;2.55
10 years;2013-07-25;2.55
10 years;2013-07-26;2.56
10 years;2013-07-29;2.54
10 years;2013-07-30;2.55
10 years;2013-07-31;2.55
10 years;2013-08-01;2.49
10 years;2013-08-02;2.52
10 years;2013-08-05;2.54
10 years;2013-08-06;2.56
10 years;2013-08-07;2.56
10 years;2013-08-08;2.53
10 years;2013-08-09;2.54
10 years;2013-08-12;2.53
10 years;2013-08-13;2.61
10 years;2013-08-14;2.63
10 years;2013-08-16;2.66
10 years;2013-08-19;2.72
10 years;2013-08-20;2.72
10 years;2013-08-21;2.74
10 years;2013-08-22;2.79
10 years;2013-08-23;2.81
10 years;2013-08-26;2.77
10 years;2013-08-27;2.73
10 years;2013-08-28;2.73
10 years;2013-08-29;2.75
10 years;2013-08-30;2.73
10 years;2013-09-02;2.77
10 years;2013-09-03;2.76
10 years;2013-09-04;2.77
10 years;2013-09-05;2.89
10 years;2013-09-06;2.83
10 years;2013-09-09;2.83
10 years;2013-09-10;2.9
10 years;2013-09-11;2.86
10 years;2013-09-12;2.8
10 years;2013-09-13;2.81
10 years;2013-09-16;2.75
10 years;2013-09-17;2.75
10 years;2013-09-18;2.79
10 years;2013-09-19;2.69
10 years;2013-09-20;2.74
10 years;2013-09-23;2.73
10 years;2013-09-24;2.64
10 years;2013-09-25;2.63
10 years;2013-09-26;2.61
10 years;2013-09-27;2.59
10 years;2013-09-30;2.58
10 years;2013-10-01;2.57
10 years;2013-10-02;2.59
10 years;2013-10-03;2.61
10 years;2013-10-04;2.6
10 years;2013-10-07;2.57
10 years;2013-10-08;2.58
10 years;2013-10-09;2.56
10 years;2013-10-10;2.61
10 years;2013-10-11;2.61
10 years;2013-10-14;2.61
10 years;2013-10-15;2.63
10 years;2013-10-16;2.66
10 years;2013-10-17;2.63
10 years;2013-10-18;2.59
10 years;2014-07-04;1.67
10 years;2014-07-07;1.68
10 years;2014-07-08;1.65
10 years;2014-07-09;1.65
10 years;2014-07-10;1.61
10 years;2014-07-11;1.63
10 years;2014-07-14;1.65
10 years;2014-07-15;1.64
10 years;2014-07-16;1.62
10 years;2014-07-17;1.59
10 years;2014-07-18;1.57
10 years;2014-07-22;1.56
10 years;2014-07-23;1.54
10 years;2014-07-24;1.56
10 years;2014-07-25;1.55
10 years;2014-07-28;1.53
10 years;2014-07-29;1.5
10 years;2014-07-30;1.51
10 years;2014-07-31;1.57
10 years;2014-08-01;1.55
10 years;2014-08-04;1.53
10 years;2014-08-05;1.56
10 years;2014-08-06;1.52
10 years;2014-08-07;1.51
10 years;2014-08-08;1.46
10 years;2014-08-11;1.47
10 years;2014-08-12;1.47
10 years;2014-08-13;1.45
10 years;2014-08-14;1.4
10 years;2014-08-18;1.4
10 years;2014-08-19;1.38
10 years;2014-08-20;1.35
10 years;2014-08-21;1.36
10 years;2014-08-22;1.34
10 years;2014-08-25;1.28
10 years;2014-08-26;1.25
10 years;2014-08-27;1.2
10 years;2014-08-28;1.2
10 years;2014-08-29;1.23
10 years;2014-09-01;1.23
10 years;2014-09-02;1.29
10 years;2014-09-03;1.31
10 years;2014-09-04;1.26
10 years;2014-09-05;1.22
10 years;2014-09-08;1.21
10 years;2014-09-09;1.3
10 years;2014-09-10;1.34
10 years;2014-09-11;1.33
10 years;2014-09-12;1.39
10 years;2014-09-15;1.38
10 years;2014-09-16;1.39
10 years;2014-09-17;1.36
10 years;2014-09-18;1.41
10 years;2014-09-19;1.34
10 years;2014-09-22;1.3
10 years;2014-09-23;1.29
10 years;2014-09-24;1.39
10 years;2014-09-25;1.36
10 years;2014-09-26;1.34
10 years;2014-09-29;1.34
10 years;2014-09-30;1.33
10 years;2014-10-01;1.27
10 years;2014-10-02;1.28
10 years;2014-10-03;1.3
10 years;2014-10-06;1.28
10 years;2014-10-07;1.29
10 years;2014-10-08;1.27
10 years;2014-10-09;1.25
10 years;2014-10-10;1.26
10 years;2014-10-13;1.28
10 years;2014-10-14;1.23
10 years;2014-10-15;1.15
10 years;2014-10-16;1.26
10 years;2014-10-17;1.32
10 years;2014-10-20;1.34
10 years;2014-10-21;1.34
10 years;2014-10-22;1.32
10 years;2014-10-23;1.32
10 years;2014-10-24;1.31
10 years;2014-10-27;1.3
10 years;2014-10-28;1.31
10 years;2014-10-29;1.27
10 years;2014-10-30;1.24
10 years;2014-10-31;1.21
10 years;2014-11-03;1.21
10 years;2014-11-04;1.18
10 years;2014-11-05;1.21
10 years;2014-11-06;1.23
10 years;2014-11-07;1.23
10 years;2014-11-10;1.2
10 years;2015-07-28;1.02
10 years;2015-07-29;1.02
10 years;2015-07-30;0.99
10 years;2015-07-31;0.99
10 years;2015-08-03;0.97
10 years;2015-08-04;0.99
10 years;2015-08-05;1.05
10 years;2015-08-06;1.04
10 years;2015-08-07;1.01
10 years;2015-08-10;1.02
10 years;2015-08-11;0.99
10 years;2015-08-12;0.97
10 years;2015-08-13;1.01
10 years;2015-08-14;1
10 years;2015-08-17;0.98
10 years;2015-08-18;1
10 years;2015-08-19;1.01
10 years;2015-08-20;0.96
10 years;2015-08-21;0.98
10 years;2015-08-24;0.95
10 years;2015-08-25;1.09
10 years;2015-08-26;1.12
10 years;2015-08-27;1.1
10 years;2015-08-28;1.07
10 years;2015-08-31;1.08
10 years;2015-09-01;1.13
10 years;2015-09-02;1.15
10 years;2015-09-03;1.09
10 years;2015-09-04;1.02
10 years;2015-09-07;1.02
10 years;2015-09-08;1.05
10 years;2015-09-09;1.04
10 years;2015-09-10;1.02
10 years;2015-09-11;1.01
10 years;2015-09-14;0.99
10 years;2015-09-15;1.03
10 years;2015-09-16;1.12
10 years;2015-09-17;1.12
10 years;2015-09-18;0.98
10 years;2015-09-21;1.01
10 years;2015-09-22;0.94
10 years;2015-09-23;0.91
10 years;2015-09-24;0.91
10 years;2015-09-25;0.99
10 years;2015-09-28;0.95
10 years;2015-09-29;0.94
10 years;2015-09-30;0.92
10 years;2015-10-01;0.87
10 years;2015-10-02;0.84
10 years;2015-10-05;0.87
10 years;2015-10-06;0.94
10 years;2015-10-07;0.93
10 years;2015-10-08;0.91
10 years;2015-10-09;0.95
10 years;2015-10-12;0.91
10 years;2015-10-13;0.9
10 years;2015-10-14;0.87
10 years;2015-10-15;0.88
10 years;2015-10-16;0.87
10 years;2015-10-19;0.88
10 years;2015-10-20;0.95
10 years;2015-10-21;0.91
10 years;2015-10-22;0.83
10 years;2015-10-23;0.82
10 years;2015-10-26;0.8
10 years;2015-10-27;0.77
10 years;2015-10-28;0.74
10 years;2015-10-29;0.78
10 years;2015-10-30;0.82
10 years;2015-11-02;0.88
10 years;2015-11-03;0.89
10 years;2015-11-04;0.89
10 years;2015-11-05;0.89
10 years;2015-11-06;0.97
10 years;2015-11-09;0.97
10 years;2015-11-10;0.93
10 years;2015-11-12;0.92
10 years;2015-11-13;0.86
10 years;2015-11-16;0.85
10 years;2015-11-17;0.85
10 years;2015-11-18;0.83
10 years;2015-11-19;0.8
10 years;2015-11-20;0.79
10 years;2015-11-23;0.85
10 years;2015-11-24;0.82
10 years;2015-11-25;0.79
10 years;2015-11-26;0.79
10 years;2015-11-27;0.76
10 years;2015-11-30;0.79
10 years;2015-12-01;0.8
10 years;2015-12-02;0.77
10 years;2015-12-03;0.91
10 years;2015-12-04;0.94
10 years;2016-08-19;0.09
10 years;2016-08-22;0.06
10 years;2016-08-23;0.06
10 years;2016-08-24;0.07
10 years;2016-08-25;0.1
10 years;2016-08-26;0.08
10 years;2016-08-29;0.11
10 years;2016-08-30;0.09
10 years;2016-08-31;0.09
10 years;2016-09-01;0.13
10 years;2016-09-02;0.12
10 years;2016-09-05;0.1
10 years;2016-09-06;0.07
10 years;2016-09-07;0.03
10 years;2016-09-08;0.06
10 years;2016-09-09;0.15
10 years;2016-09-12;0.19
10 years;2016-09-13;0.18
10 years;2016-09-14;0.2
10 years;2016-09-15;0.21
10 years;2016-09-16;0.18
10 years;2016-09-19;0.19
10 years;2016-09-20;0.16
10 years;2016-09-21;0.16
10 years;2016-09-22;0.09
10 years;2016-09-23;0.08
10 years;2016-09-26;0.08
10 years;2016-09-27;0.13
10 years;2016-09-28;0.14
10 years;2016-09-29;0.16
10 years;2016-09-30;0.14
10 years;2016-10-03;0.17
10 years;2016-10-04;0.19
10 years;2016-10-05;0.26
10 years;2016-10-06;0.26
10 years;2016-10-07;0.27
10 years;2016-10-10;0.27
10 years;2016-10-11;0.31
10 years;2016-10-12;0.34
10 years;2016-10-13;0.3
10 years;2016-10-14;0.3
10 years;2016-10-17;0.32
10 years;2016-10-18;0.31
10 years;2016-10-19;0.29
10 years;2016-10-20;0.3
10 years;2016-10-21;0.25
10 years;2016-10-24;0.23
10 years;2016-10-25;0.27
10 years;2016-10-26;0.33
10 years;2016-10-27;0.37
10 years;2016-10-28;0.41
10 years;2016-10-31;0.41
10 years;2016-11-02;0.41
10 years;2016-11-03;0.44
10 years;2016-11-04;0.4
10 years;2016-11-07;0.42
10 years;2016-11-08;0.43
10 years;2016-11-09;0.45
10 years;2016-11-10;0.64
10 years;2016-11-14;0.78
10 years;2016-11-15;0.69
10 years;2016-11-16;0.69
10 years;2016-11-17;0.7
10 years;2016-11-18;0.66
10 years;2016-11-21;0.69
10 years;2016-11-22;0.62
10 years;2016-11-23;0.73
10 years;2016-11-24;0.66
10 years;2016-11-25;0.68
10 years;2016-11-28;0.65
10 years;2016-11-29;0.63
10 years;2016-11-30;0.6
10 years;2016-12-01;0.7
10 years;2016-12-02;0.7
10 years;2016-12-05;0.69
10 years;2016-12-06;0.69
10 years;2016-12-07;0.7
10 years;2016-12-08;0.71
10 years;2016-12-09;0.73
10 years;2016-12-12;0.79
10 years;2016-12-13;0.71
10 years;2016-12-14;0.67
10 years;2016-12-15;0.7
10 years;2016-12-16;0.63
10 years;2016-12-19;0.62
10 years;2016-12-20;0.6
10 years;2016-12-21;0.62
10 years;2016-12-22;0.65
10 years;2016-12-23;0.61
10 years;2016-12-27;0.59
10 years;2017-09-11;0.43
10 years;2017-09-12;0.47
10 years;2017-09-13;0.49
10 years;2017-09-14;0.49
10 years;2017-09-15;0.5
10 years;2017-09-18;0.51
10 years;2017-09-19;0.5
10 years;2017-09-20;0.5
10 years;2017-09-21;0.54
10 years;2017-09-22;0.53
10 years;2017-09-25;0.49
10 years;2017-09-26;0.48
10 years;2017-09-27;0.57
10 years;2017-09-28;0.6
10 years;2017-09-29;0.55
10 years;2017-10-02;0.55
10 years;2017-10-03;0.58
10 years;2017-10-04;0.53
10 years;2017-10-05;0.54
10 years;2017-10-06;0.58
10 years;2017-10-09;0.56
10 years;2017-10-10;0.55
10 years;2017-10-11;0.57
10 years;2017-10-12;0.55
10 years;2017-10-13;0.52
10 years;2017-10-16;0.49
10 years;2017-10-17;0.46
10 years;2017-10-18;0.48
10 years;2017-10-19;0.49
10 years;2017-10-20;0.54
10 years;2017-10-23;0.52
10 years;2017-10-24;0.55
10 years;2017-10-25;0.57
10 years;2017-10-26;0.54
10 years;2017-10-27;0.49
10 years;2017-10-30;0.46
10 years;2017-10-31;0.46
10 years;2017-11-02;0.45
10 years;2017-11-03;0.43
10 years;2017-11-06;0.42
10 years;2017-11-07;0.4
10 years;2017-11-08;0.38
10 years;2017-11-09;0.45
10 years;2017-11-10;0.46
10 years;2017-11-13;0.44
10 years;2017-11-14;0.45
10 years;2017-11-15;0.4
10 years;2017-11-16;0.42
10 years;2017-11-17;0.41
10 years;2017-11-20;0.41
10 years;2017-11-21;0.41
10 years;2017-11-22;0.41
10 years;2017-11-23;0.41
10 years;2017-11-24;0.43
10 years;2017-11-27;0.4
10 years;2017-11-28;0.4
10 years;2017-11-29;0.41
10 years;2017-11-30;0.42
10 years;2017-12-01;0.36
10 years;2017-12-04;0.36
10 years;2017-12-05;0.35
10 years;2017-12-06;0.34
10 years;2017-12-07;0.34
10 years;2017-12-08;0.34
10 years;2017-12-11;0.33
10 years;2017-12-12;0.33
10 years;2017-12-13;0.36
10 years;2017-12-14;0.35
10 years;2017-12-15;0.33
10 years;2009-11-30;
10 years;2009-12-01;
10 years;2009-12-02;
10 years;2009-12-03;
10 years;2009-12-04;
10 years;2009-12-07;
10 years;2009-12-08;
10 years;2009-12-09;
10 years;2009-12-10;
10 years;2009-12-11;
10 years;2009-12-14;
10 years;2009-12-15;
10 years;2009-12-16;
10 years;2009-12-17;
10 years;2009-12-18;
10 years;2009-12-21;
10 years;2009-12-22;
10 years;2009-12-23;
10 years;2009-12-24;
10 years;2009-12-28;
10 years;2009-12-29;
10 years;2009-12-30;
10 years;2009-12-31;
10 years;2010-01-04;
10 years;2010-01-05;
